"Country","Lat","Long","Cases","Deaths","Recovered"
"Algeria",28.0339,1.6596,986,86,61
"Angola",-11.2027,17.8739,8,2,1
"Benin",9.3077,2.3158,13,0,1
"Botswana",-22.3285,24.6849,4,1,0
"Burkina Faso",12.2383,-1.5616,288,16,50
"Burundi",-3.3731,29.9189,3,0,0
"Cameroon",3.848,11.5021,306,7,10
"Cape Verde",16.5388,-23.0418,6,1,0
"Central African Republic",6.6111,20.9394,3,0,0
"Chad",15.4542,18.7322,8,0,0
"Côte d'Ivoire",7.54,-5.5471,194,1,15
"Democratic Republic of the Congo",-4.0383,21.7587,134,13,3
"Djibouti",11.8251,42.5903,40,0,0
"Egypt",26,30,865,58,201
"Equatorial Guinea",1.5,10,15,0,1
"Eritrea",15.1794,39.7823,22,0,0
"Eswatini",-26.5225,31.4659,9,0,0
"Ethiopia",9.145,40.4897,29,0,3
"Gabon",-0.8037,11.6094,21,1,0
"Gambia",13.4432,-15.3101,4,1,2
"Ghana",7.9465,-1.0232,204,5,31
"Guinea",9.9456,-9.6966,52,0,0
"Guinea-Bissau",11.8037,-15.1804,9,0,0
"Kenya",-0.0236,37.9062,110,3,4
"Liberia",6.4281,-9.4295,6,0,0
"Libya",26.3351,17.228331,11,1,0
"Madagascar",-18.7669,46.8691,59,0,0
"Malawi",-13.254308,34.301525,3,0,0
"Mali",17.570692,-3.996166,36,3,0
"Mauritania",21.0079,10.9408,6,1,2
"Mauritius",-20.2,57.5,169,7,0
"Morocco",31.7917,-7.0926,708,44,31
"Mozambique",-18.6657,35.5296,10,0,0
"Namibia",-22.9576,18.4904,14,0,3
"Niger",17.6078,8.0817,98,5,0
"Nigeria",9.082,8.6753,184,2,20
"Republic of the Congo",-4.0383,21.7587,22,2,2
"Rwanda",-1.9403,29.8739,84,0,0
"Senegal",14.4974,-14.4524,195,1,55
"Seychelles",-4.6796,55.492,10,0,0
"Sierra Leone",8.460555,-11.779889,2,0,0
"Somalia",5.1521,46.1996,5,0,1
"South Africa",-30.5595,22.9375,1462,5,50
"Sudan",12.8628,30.2176,8,2,2
"Tanzania",-6.369,34.8888,20,1,2
"Togo",8.6195,0.8248,39,2,17
"Tunisia",34,9,455,14,5
"Uganda",1,32,45,0,0
"Zambia",-15.4167,28.2833,39,1,0
"Zimbabwe",-20,30,9,1,0
