"Country","Pop.","GrowthRate","Area","Lat","Long","Cases","Deaths","Recovered","TotalCases","TotalDeaths","TotalRecovered","Region","en","fr","es","Pays","Cas","Décès","Rétablis","Région","case_rate","death_rate"
"Algeria",43851044,"1.85%","2,381,741 km_",28.0339,1.6596,1320,152,90,1423,173,90,"Northern","Algeria","Algérie","Argelia","Algérie",1423,173,90,"Nord",32.45,3.95
"Angola",32866272,"3.27%","1,246,700 km_",-11.2027,17.8739,14,2,2,16,2,2,"Southern","Angola","Angola","Angola","Angola",16,2,2,"Sud",0.49,0.06
"Benin",12123200,"2.73%","112,622 km_",9.3077,2.3158,22,0,5,26,1,5,"Western","Benin","Bénin","Benin","Bénin",26,1,5,"Ouest",2.14,0.08
"Botswana",2351627,"2.08%","582,000 km_",-22.3285,24.6849,6,1,0,6,1,0,"Southern","Botswana","Botswana","Botswana","Botswana",6,1,0,"Sud",2.55,0.43
"Burkina Faso",20903273,"2.86%","272,967 km_",12.2383,-1.5616,345,17,90,364,18,108,"Western","Burkina Faso","Burkina Faso","Burkina Faso","Burkina Faso",364,18,108,"Ouest",17.41,0.86
"Burundi",11890784,"3.12%","27,834 km_",-3.3731,29.9189,3,0,0,3,0,0,"Central","Burundi","Burundi","Burundi","Burundi",3,0,0,"Centre",0.25,0
"Cameroon",26545863,"2.59%","475,442 km_",3.848,11.5021,650,9,17,658,9,17,"Central","Cameroon","Cameroun","Camerún","Cameroun",658,9,17,"Centre",24.79,0.34
"Cape Verde",555987,"1.10%","4,033 km_",16.5388,-23.0418,7,1,0,7,1,1,"Western","Cape Verde","Cap Vert","Cabo Verde","Cap Vert",7,1,1,"Ouest",12.59,1.8
"Central African Republic",4829767,"1.78%","622,984 km_",6.6111,20.9394,8,0,0,8,0,0,"Central","Central African Republic","République Centrafricaine","República Centroafricana","République Centrafricaine",8,0,0,"Centre",1.66,0
"Chad",16425864,"3.00%","1,284,000 km_",15.4542,18.7322,9,0,0,9,0,0,"Central","Chad","Tchad","Chad","Tchad",9,0,0,"Centre",0.55,0
"Comoros",869601,"2.20%","1,862 km_",-12.1667,44.25,NA,NA,NA,NA,NA,NA,"Eastern","Comoros","Comores","Comoras","Comores",NA,NA,NA,"Est",NA,NA
"Côte d'Ivoire",26378274,"2.57%","322,463 km_",7.54,-5.5471,261,3,37,323,3,41,"Western","Côte d'Ivoire","Côte d'Ivoire","Costa de Marfil","Côte d'Ivoire",323,3,41,"Ouest",12.24,0.11
